 initial abundance for selected isotopes
  804   0.00000E+00  NI 56
  805   0.00000E+00  NI 57
  806   0.00000E+00  NI 58
  807   0.00000E+00  NI 59
  808   0.00000E+00  NI 60
  809   0.00000E+00  NI 61
  810   0.00000E+00  NI 62
  811   0.00000E+00  NI 63
  812   0.00000E+00  NI 64
  813   0.00000E+00  NI 65
  814   0.00000E+00  NI 66
  815   0.00000E+00  NI 67
  816   0.00000E+00  NI 68
  817   0.00000E+00  NI 69
  818   0.00000E+00  NI 70
  819   0.00000E+00  NI 71
  820   0.00000E+00  NI 72
  821   0.00000E+00  NI 73
  822   0.00000E+00  NI 74
  823   0.00000E+00  NI 75
  824   0.00000E+00  NI 76
  825   0.00000E+00  NI 77
  826   0.00000E+00  NI 78
  827   0.00000E+00  NI 79
  828   0.00000E+00  NI 80
  829   0.00000E+00  NI 81
  830   0.00000E+00  NI 82
  831   0.00000E+00  NI 83
  832   0.00000E+00  NI 84
  833   0.00000E+00  NI 85
  834   0.00000E+00  NI 86
  835   0.00000E+00  NI 87
  836   0.00000E+00  NI 88
  837   0.00000E+00  NI 89
  838   0.00000E+00  NI 90
  839   0.00000E+00  NI 91
  840   0.00000E+00  NI 92
  841   0.00000E+00  NI 93
  842   0.00000E+00  NI 94
  843   0.00000E+00  NI 95
  844   0.00000E+00  NI 96
  845   0.00000E+00  NI 97
  846   0.00000E+00  NI 98
  847   0.00000E+00  NI 99
  848   0.00000E+00  CU 48
  849   0.00000E+00  CU 49
  850   0.00000E+00  CU 50
  851   0.00000E+00  CU 51
  852   0.00000E+00  CU 52
  853   0.00000E+00  CU 53
  854   0.00000E+00  CU 54
  855   0.00000E+00  CU 55
  856   0.00000E+00  CU 56
  857   0.00000E+00  CU 57
  858   0.00000E+00  CU 58
  859   0.00000E+00  CU 59
  860   0.00000E+00  CU 60
  861   0.00000E+00  CU 61
  862   0.00000E+00  CU 62
  863   0.00000E+00  CU 63
  864   0.00000E+00  CU 64
  865   0.00000E+00  CU 65
  866   0.00000E+00  CU 66
  867   0.00000E+00  CU 67
  868   0.00000E+00  CU 68
  869   0.00000E+00  CU 69
  870   0.00000E+00  CU 70
  871   0.00000E+00  CU 71
  872   0.00000E+00  CU 72
  873   0.00000E+00  CU 73
  874   0.00000E+00  CU 74
  875   0.00000E+00  CU 75
  876   0.00000E+00  CU 76
  877   0.00000E+00  CU 77
  878   0.00000E+00  CU 78
  879   0.00000E+00  CU 79
  880   0.00000E+00  CU 80
  881   0.00000E+00  CU 81
  882   0.00000E+00  CU 82
  883   0.00000E+00  CU 83
  884   0.00000E+00  CU 84
  885   0.00000E+00  CU 85
  886   0.00000E+00  CU 86
  887   0.00000E+00  CU 87
